accident_date,valuation_date,paid_amount,incurred_amount,reported_count,paid_count,claim_id,segment
2018-01-01,2018-12-31,120000,180000,45,30,C001,Motor
2018-01-01,2019-12-31,80000,140000,50,35,C001,Motor
2018-01-01,2020-12-31,40000,100000,55,40,C001,Motor
2019-01-01,2019-12-31,140000,210000,48,33,C002,Motor
2019-01-01,2020-12-31,90000,150000,53,37,C002,Motor
2019-01-01,2021-12-31,50000,105000,58,42,C002,Motor
2020-01-01,2020-12-31,160000,240000,51,34,C003,Property
2020-01-01,2021-12-31,110000,175000,57,40,C003,Property
2020-01-01,2022-12-31,60000,120000,62,46,C003,Property
2021-01-01,2021-12-31,170000,255000,54,36,C004,Property
2021-01-01,2022-12-31,115000,185000,60,42,C004,Property
2022-01-01,2022-12-31,180000,270000,55,37,C005,Liability
2022-01-01,2023-12-31,120000,195000,61,43,C005,Liability
2023-01-01,2023-12-31,190000,285000,56,38,C006,Liability
